date,Real Middle Band,Real Lower Band,Real Upper Band
2020-01-16 12:19:00,313.0906,312.4844,313.6968
2020-01-16 12:20:00,313.096,312.5027,313.6892
2020-01-16 12:21:00,313.0964,312.5045,313.6883
2020-01-16 12:22:00,313.0938,312.4934,313.6943
2020-01-16 12:23:00,313.0967,312.5079,313.6855
2020-01-16 12:24:00,313.1022,312.5392,313.6652
2020-01-16 12:25:00,313.1072,312.5691,313.6453
2020-01-16 12:26:00,313.1084,312.5752,313.6416
2020-01-16 12:27:00,313.1072,312.5706,313.6438
2020-01-16 12:28:00,313.1039,312.5619,313.6458
2020-01-16 12:29:00,313.0955,312.542,313.649
2020-01-16 12:30:00,313.0878,312.5232,313.6525
2020-01-16 12:31:00,313.0804,312.508,313.6528
2020-01-16 12:32:00,313.0752,312.4981,313.6522
2020-01-16 12:33:00,313.0734,312.4949,313.6519
2020-01-16 12:34:00,313.0717,312.4923,313.651
2020-01-16 12:35:00,313.0745,312.4951,313.6539
2020-01-16 12:36:00,313.0738,312.4946,313.653
2020-01-16 12:37:00,313.0707,312.4946,313.6467
2020-01-16 12:38:00,313.0669,312.4909,313.6429
2020-01-16 12:39:00,313.0645,312.488,313.6411
2020-01-16 12:40:00,313.0616,312.4821,313.6411
2020-01-16 12:41:00,313.0571,312.4753,313.639
2020-01-16 12:42:00,313.0537,312.4728,313.6346
2020-01-16 12:43:00,313.0484,312.4656,313.6311
2020-01-16 12:44:00,313.041,312.4615,313.6205
2020-01-16 12:45:00,313.034,312.4586,313.6095
2020-01-16 12:46:00,313.0267,312.46,313.5935
2020-01-16 12:47:00,313.0188,312.4593,313.5783
2020-01-16 12:48:00,313.0088,312.4618,313.5559
2020-01-16 12:49:00,312.9994,312.462,313.5368
2020-01-16 12:50:00,312.9936,312.4622,313.525
2020-01-16 12:51:00,312.9886,312.4583,313.5189
2020-01-16 12:52:00,312.9809,312.4507,313.511
2020-01-16 12:53:00,312.9734,312.4495,313.4974
2020-01-16 12:54:00,312.9642,312.4534,313.4751
2020-01-16 12:55:00,312.9554,312.4526,313.4582
2020-01-16 12:56:00,312.9469,312.4581,313.4357
2020-01-16 12:57:00,312.9403,312.4609,313.4196
2020-01-16 12:58:00,312.9333,312.4701,313.3964
2020-01-16 12:59:00,312.9258,312.4741,313.3774
2020-01-16 13:00:00,312.9179,312.4771,313.3588
2020-01-16 13:01:00,312.9105,312.4867,313.3343
2020-01-16 13:02:00,312.902,312.4944,313.3096
2020-01-16 13:03:00,312.8927,312.5051,313.2803
2020-01-16 13:04:00,312.8848,312.5168,313.2528
2020-01-16 13:05:00,312.8764,312.5318,313.2211
2020-01-16 13:06:00,312.8688,312.5497,313.1878
2020-01-16 13:07:00,312.8624,312.5634,313.1613
2020-01-16 13:08:00,312.8571,312.5746,313.1396
2020-01-16 13:09:00,312.8539,312.5798,313.1279
2020-01-16 13:10:00,312.8523,312.5823,313.1223
2020-01-16 13:11:00,312.8532,312.5824,313.124
2020-01-16 13:12:00,312.8522,312.5824,313.122
2020-01-16 13:13:00,312.8485,312.5798,313.1172
2020-01-16 13:14:00,312.8491,312.5806,313.1177
2020-01-16 13:15:00,312.8458,312.5779,313.1137
2020-01-16 13:16:00,312.8497,312.5877,313.1117
2020-01-16 13:17:00,312.8525,312.5934,313.1116
2020-01-16 13:18:00,312.854,312.5954,313.1127
2020-01-16 13:19:00,312.8535,312.5949,313.1122
2020-01-16 13:20:00,312.8535,312.5949,313.1122
2020-01-16 13:21:00,312.8579,312.6023,313.1134
2020-01-16 13:22:00,312.8641,312.6234,313.1048
2020-01-16 13:23:00,312.8706,312.6412,313.1
2020-01-16 13:24:00,312.8759,312.6579,313.0939
2020-01-16 13:25:00,312.8806,312.6774,313.0837
2020-01-16 13:26:00,312.8871,312.6973,313.0769
2020-01-16 13:27:00,312.8941,312.7044,313.0838
2020-01-16 13:28:00,312.8993,312.7044,313.0942
2020-01-16 13:29:00,312.9056,312.7177,313.0936
2020-01-16 13:30:00,312.9113,312.7332,313.0894
2020-01-16 13:31:00,312.9138,312.7428,313.0847
2020-01-16 13:32:00,312.917,312.7479,313.0862
2020-01-16 13:33:00,312.9203,312.7451,313.0956
2020-01-16 13:34:00,312.9255,312.73,313.1211
2020-01-16 13:35:00,312.9289,312.7112,313.1467
2020-01-16 13:36:00,312.9345,312.6848,313.1842
2020-01-16 13:37:00,312.9416,312.6499,313.2334
2020-01-16 13:38:00,312.949,312.6345,313.2634
2020-01-16 13:39:00,312.9567,312.6199,313.2934
2020-01-16 13:40:00,312.965,312.6167,313.3134
2020-01-16 13:41:00,312.9744,312.6093,313.3395
2020-01-16 13:42:00,312.9815,312.599,313.364
2020-01-16 13:43:00,312.9917,312.5927,313.3907
2020-01-16 13:44:00,313.0044,312.5723,313.4365
2020-01-16 13:45:00,313.0178,312.5493,313.4864
